No,Stimulation,Intensity,Kassei,Hikassei,Kai,Fukai,Type
0,FIRSTQUESTION,0.0,10.25,7.0,2.75,1.75,49.25
1,Strong,80.25,73.75,3.25,4.75,78.25,3.75
0,FIRSTQUESTION,0.0,4.75,14.75,3.0,4.75,52.5
2,Weak,48.75,53.25,10.5,9.0,59.5,7.75
0,FIRSTQUESTION,0.0,8.25,8.5,0.75,3.75,50.25
3,Odorless,0.0,5.25,13.75,1.75,4.0,44.25
0,FIRSTQUESTION
0,FIRSTQUESTION,0.75,1.25,3.25,2.75,2.75,49.0
4,Odorless,0.25,1.5,11.5,0.0,2.0,56.25
0,FIRSTQUESTION,0.25,1.25,3.25,2.75,3.25,46.25
5,Strong,79.75,66.75,2.5,2.25,79.25,4.5
0,FIRSTQUESTION,0.25,3.0,2.25,3.75,1.25,52.75
6,Weak,55.75,38.25,16.0,7.0,59.5,6.75
