No,Stimulation,Intensity,Kassei,Hikassei,Kai,Fukai,Type
0,FIRSTQUESTION,5.25,33.75,34.0,7.0,6.0,50.0
1,Strong,49.75,37.5,29.75,12.0,32.25,71.5
0,FIRSTQUESTION,7.75,36.0,25.0,12.25,7.75,50.0
2,Odorless,4.5,24.5,48.5,6.25,6.75,49.5
0,FIRSTQUESTION,6.25,22.25,48.0,9.5,8.25,49.25
3,Weak,3.75,17.75,57.25,10.0,7.75,50.5
0,FIRSTQUESTION
0,FIRSTQUESTION,2.5,25.25,50.75,4.25,6.75,50.0
4,Weak,11.75,22.0,59.0,8.5,7.0,50.25
0,FIRSTQUESTION,16.25,9.0,4.0,21.0,19.25,50.0
5,Strong,73.0,47.0,16.5,13.25,14.0,60.5
0,FIRSTQUESTION,14.25,45.25,4.25,5.0,3.25,50.0
6,Odorless,10.5,48.0,5.0,7.25,7.0,50.75
