No,Stimulation,Intensity,Kassei,Hikassei,Kai,Fukai,Type
0,FIRSTQUESTION,0.0,0.0,1.25,0.0,0.0,51.25
1,Odorless,2.75,0.75,0.0,0.0,2.25,42.0
0,FIRSTQUESTION,0.0,0.25,0.0,0.75,0.0,49.0
2,Strong,78.25,59.5,0.25,0.0,71.0,0.25
0,FIRSTQUESTION,1.25,1.75,0.0,0.5,5.25,41.25
3,Weak,33.25,35.75,0.5,7.0,40.25,1.5

0,FIRSTQUESTION,0.0,0.0,0.0,0.0,0.0,47.25
4,Weak,38.25,23.75,1.25,6.5,35.5,0.25
0,FIRSTQUESTION,0.0,0.0,2.75,0.0,5.75,45.75
5,Odorless,0.0,0.0,0.0,0.0,0.0,44.5
0,FIRSTQUESTION,0.0,0.0,0.0,0.0,0.0,53.5
6,Strong,65.75,56.25,2.0,3.75,53.75,0.0

0,FIRSTQUESTION,2.75,3.0,0.0,0.0,1.75,48.5
7,Weak,12.75,8.25,1.25,1.25,10.75,10.75
0,FIRSTQUESTION,50.0,50.0,50.0,0.0,0.75,49.5
8,Strong,52.0,38.5,0.25,3.25,54.5,5.25
0,FIRSTQUESTION,0.0,2.0,0.0,0.0,5.75,50.75
9,Odorless,9.5,13.0,1.25,1.75,20.25,10.75
0,FIRSTQUESTION
